"Company","Year","Oil_Production_Aggregate","Well_Numbers","Active_Wells"
"1776 ENERGY OPERATORS, LLC",2012,46253,1,1
"1776 ENERGY OPERATORS, LLC",2013,39887,1,1
"1776 ENERGY OPERATORS, LLC",2014,527054,5,5
"1776 ENERGY OPERATORS, LLC",2015,359741,7,7
"ABRAXAS PETROLEUM CORPORATION",2005,33,1,1
"ABRAXAS PETROLEUM CORPORATION",2006,0,1,0
"ABRAXAS PETROLEUM CORPORATION",2007,0,1,0
"ABRAXAS PETROLEUM CORPORATION",2008,0,3,0
"ABRAXAS PETROLEUM CORPORATION",2009,827,3,1
"ABRAXAS PETROLEUM CORPORATION",2010,790,3,1
"ABRAXAS PETROLEUM CORPORATION",2011,69702,5,3
"ABRAXAS PETROLEUM CORPORATION",2012,107526,10,8
"ABRAXAS PETROLEUM CORPORATION",2013,547104,18,16
"ABRAXAS PETROLEUM CORPORATION",2014,1096351,29,27
"ABRAXAS PETROLEUM CORPORATION",2015,744554,32,31
"ACOCK/ANAQUA OPERATING CO., LP",2010,1179,1,1
"ACOCK/ANAQUA OPERATING CO., LP",2011,911,1,1
"ACOCK/ANAQUA OPERATING CO., LP",2012,651,1,1
"ACOCK/ANAQUA OPERATING CO., LP",2013,632,1,1
"ACOCK/ANAQUA OPERATING CO., LP",2014,769,1,1
"ACOCK/ANAQUA OPERATING CO., LP",2015,525,1,1
"ACTIVA RESOURCES, LLC",2006,0,1,0
"ACTIVA RESOURCES, LLC",2007,0,1,0
"ACTIVA RESOURCES, LLC",2009,0,1,0
"ACTIVA RESOURCES, LLC",2010,0,1,0
"ACTIVA RESOURCES, LLC",2011,0,1,0
"ACTIVA RESOURCES, LLC",2012,0,1,0
"ACTIVA RESOURCES, LLC",2013,0,1,0
"ACTIVA RESOURCES, LLC",2014,0,1,0
"AKG OPERATING COMPANY",2007,6872,1,1
"AKG OPERATING COMPANY",2008,3632,1,1
"AKG OPERATING COMPANY",2009,1397,1,1
"AKG OPERATING COMPANY",2010,726,1,1
"AKG OPERATING COMPANY",2011,624,1,1
"AKG OPERATING COMPANY",2012,2928,2,2
"AKG OPERATING COMPANY",2013,14557,2,2
"AKG OPERATING COMPANY",2014,9398,1,1
"AKG OPERATING COMPANY",2015,5027,2,2
"ALAMO OPERATING COMPANY, L. C.",2009,8489,1,1
"ALAMO OPERATING COMPANY, L. C.",2010,13156,2,2
"ALAMO OPERATING COMPANY, L. C.",2011,12519,3,3
"ALAMO OPERATING COMPANY, L. C.",2012,10882,3,3
"ALAMO OPERATING COMPANY, L. C.",2013,4702,2,2
"ALAMO OPERATING COMPANY, L. C.",2014,3800,1,1
"ALAMO OPERATING COMPANY, L. C.",2015,2143,1,1
"ANADARKO E&P COMPANY LP",2005,51,3,1
"ANADARKO E&P COMPANY LP",2006,58,4,1
"ANADARKO E&P COMPANY LP",2007,7,4,1
"ANADARKO E&P COMPANY LP",2008,4211,5,1
"ANADARKO E&P COMPANY LP",2009,131392,13,9
"ANADARKO E&P COMPANY LP",2010,1572425,109,105
"ANADARKO E&P COMPANY LP",2011,6685194,263,258
"ANADARKO E&P COMPANY LP",2012,12337982,483,476
"ANADARKO E&P COMPANY LP",2013,13546547,663,655
"ANADARKO E&P COMPANY LP",2014,14294241,719,711
"ANADARKO E&P COMPANY LP",2015,8408585,719,709
"ANADARKO E&P ONSHORE LLC",2009,7292,4,4
"ANADARKO E&P ONSHORE LLC",2010,179042,74,74
"ANADARKO E&P ONSHORE LLC",2011,362921,74,74
"ANADARKO E&P ONSHORE LLC",2012,121622,43,43
"ANADARKO E&P ONSHORE LLC",2013,305810,89,89
"ANADARKO E&P ONSHORE LLC",2014,11636996,372,372
"ANADARKO E&P ONSHORE LLC",2015,23163971,620,620
"ANADARKO PETROLEUM CORPORATION",2011,11414,1,1
"ANADARKO PETROLEUM CORPORATION",2012,72305,1,1
"ANADARKO PETROLEUM CORPORATION",2013,29258,1,1
"ANADARKO PETROLEUM CORPORATION",2014,23078,1,1
"ANADARKO PETROLEUM CORPORATION",2015,1653,1,1
"ANATEXAS OFFSHORE, INC.",2013,55,1,1
"ANATEXAS OFFSHORE, INC.",2014,62,1,1
"APACHE CORPORATION",2008,22787,6,6
"APACHE CORPORATION",2009,60281,6,6
"APACHE CORPORATION",2010,34528,6,6
"APACHE CORPORATION",2011,24820,6,6
