"","Company","Month","Total_Production","Well_Number","Production_per_Well"
"1","1776 ENERGY OPERATORS, LLC",2012-07-01,5538,1,5538
"2","1776 ENERGY OPERATORS, LLC",2012-08-01,10520,1,10520
"3","1776 ENERGY OPERATORS, LLC",2012-09-01,9394,1,9394
"4","1776 ENERGY OPERATORS, LLC",2012-10-01,7919,1,7919
"5","1776 ENERGY OPERATORS, LLC",2012-11-01,6572,1,6572
"6","1776 ENERGY OPERATORS, LLC",2012-12-01,6310,1,6310
"7","1776 ENERGY OPERATORS, LLC",2013-01-01,1011,1,1011
"8","1776 ENERGY OPERATORS, LLC",2013-02-01,3073,1,3073
"9","1776 ENERGY OPERATORS, LLC",2013-03-01,5825,1,5825
"10","1776 ENERGY OPERATORS, LLC",2013-04-01,4142,1,4142
"11","1776 ENERGY OPERATORS, LLC",2013-05-01,3599,1,3599
"12","1776 ENERGY OPERATORS, LLC",2013-06-01,4662,1,4662
"13","1776 ENERGY OPERATORS, LLC",2013-07-01,3933,1,3933
"14","1776 ENERGY OPERATORS, LLC",2013-08-01,3133,1,3133
"15","1776 ENERGY OPERATORS, LLC",2013-09-01,2209,1,2209
"16","1776 ENERGY OPERATORS, LLC",2013-10-01,2814,1,2814
"17","1776 ENERGY OPERATORS, LLC",2013-11-01,2709,1,2709
"18","1776 ENERGY OPERATORS, LLC",2013-12-01,2777,1,2777
"19","1776 ENERGY OPERATORS, LLC",2014-01-01,2939,1,2939
"20","1776 ENERGY OPERATORS, LLC",2014-02-01,70039,3,23346.3333333333
"21","1776 ENERGY OPERATORS, LLC",2014-03-01,14911,3,4970.33333333333
"22","1776 ENERGY OPERATORS, LLC",2014-04-01,12668,3,4222.66666666667
"23","1776 ENERGY OPERATORS, LLC",2014-05-01,7881,3,2627
"24","1776 ENERGY OPERATORS, LLC",2014-06-01,10539,3,3513
"25","1776 ENERGY OPERATORS, LLC",2014-07-01,20348,3,6782.66666666667
"26","1776 ENERGY OPERATORS, LLC",2014-08-01,22504,3,7501.33333333333
"27","1776 ENERGY OPERATORS, LLC",2014-09-01,117785,4,29446.25
"28","1776 ENERGY OPERATORS, LLC",2014-10-01,88269,5,17653.8
"29","1776 ENERGY OPERATORS, LLC",2014-11-01,81502,5,16300.4
"30","1776 ENERGY OPERATORS, LLC",2014-12-01,77669,5,15533.8
"31","1776 ENERGY OPERATORS, LLC",2015-01-01,88421,6,14736.8333333333
"32","1776 ENERGY OPERATORS, LLC",2015-02-01,46852,6,7808.66666666667
"33","1776 ENERGY OPERATORS, LLC",2015-03-01,42447,6,7074.5
"34","1776 ENERGY OPERATORS, LLC",2015-04-01,37666,6,6277.66666666667
"35","1776 ENERGY OPERATORS, LLC",2015-05-01,35769,6,5961.5
"36","1776 ENERGY OPERATORS, LLC",2015-06-01,30698,6,5116.33333333333
"37","1776 ENERGY OPERATORS, LLC",2015-07-01,20919,6,3486.5
"38","1776 ENERGY OPERATORS, LLC",2015-08-01,28505,6,4750.83333333333
"39","1776 ENERGY OPERATORS, LLC",2015-10-01,11367,1,11367
"40","1776 ENERGY OPERATORS, LLC",2015-11-01,17097,1,17097
"41","ABRAXAS PETROLEUM CORPORATION",2005-05-01,33,1,33
"42","ABRAXAS PETROLEUM CORPORATION",2005-06-01,0,1,0
"43","ABRAXAS PETROLEUM CORPORATION",2005-07-01,0,1,0
"44","ABRAXAS PETROLEUM CORPORATION",2005-08-01,0,1,0
"45","ABRAXAS PETROLEUM CORPORATION",2005-09-01,0,1,0
"46","ABRAXAS PETROLEUM CORPORATION",2005-10-01,0,1,0
"47","ABRAXAS PETROLEUM CORPORATION",2005-11-01,0,1,0
"48","ABRAXAS PETROLEUM CORPORATION",2005-12-01,0,1,0
"49","ABRAXAS PETROLEUM CORPORATION",2006-01-01,0,1,0
