"Company","API","sum_per_Well","Total_Months","P_per_Month"
"1776 ENERGY OPERATORS, LLC","42255332930000",129993,19,6841.73684210526
"1776 ENERGY OPERATORS, LLC","42255335790000",373091,12,31090.9166666667
"1776 ENERGY OPERATORS, LLC","42255336250000",129993,19,6841.73684210526
"1776 ENERGY OPERATORS, LLC","42255337150000",220210,38,5795
"1776 ENERGY OPERATORS, LLC","42255343190000",28464,2,14232
"1776 ENERGY OPERATORS, LLC","42493327710000",48541,11,4412.81818181818
"1776 ENERGY OPERATORS, LLC","42493327790000",42643,8,5330.375
"ABRAXAS PETROLEUM CORPORATION","42013343290000",68440,48,1425.83333333333
"ABRAXAS PETROLEUM CORPORATION","42013348120000",98661,18,5481.16666666667
"ABRAXAS PETROLEUM CORPORATION","42013349170000",169453,15,11296.8666666667
"ABRAXAS PETROLEUM CORPORATION","42013349300000",31996,13,2461.23076923077
"ABRAXAS PETROLEUM CORPORATION","42013349470000",34058,13,2619.84615384615
"ABRAXAS PETROLEUM CORPORATION","42013349780000",35091,7,5013
"ABRAXAS PETROLEUM CORPORATION","42013349980000",35091,7,5013
"ABRAXAS PETROLEUM CORPORATION","42013351120000",45202,4,11300.5
"ABRAXAS PETROLEUM CORPORATION","42123320140000",33,100,0.33
"ABRAXAS PETROLEUM CORPORATION","42123322070000",3013,59,51.0677966101695
"ABRAXAS PETROLEUM CORPORATION","42123323660000",112222,51,2200.43137254902
"ABRAXAS PETROLEUM CORPORATION","42285334510000",0,85,0
"ABRAXAS PETROLEUM CORPORATION","42311347260000",94013,42,2238.40476190476
"ABRAXAS PETROLEUM CORPORATION","42311351110000",81629,34,2400.85294117647
"ABRAXAS PETROLEUM CORPORATION","42311351400000",108520,33,3288.48484848485
"ABRAXAS PETROLEUM CORPORATION","42311351910000",86526,31,2791.16129032258
"ABRAXAS PETROLEUM CORPORATION","42311352140000",108520,33,3288.48484848485
"ABRAXAS PETROLEUM CORPORATION","42311352170000",83779,31,2702.54838709677
"ABRAXAS PETROLEUM CORPORATION","42311352510000",108520,33,3288.48484848485
"ABRAXAS PETROLEUM CORPORATION","42311353080000",123275,27,4565.74074074074
"ABRAXAS PETROLEUM CORPORATION","42311353730000",75677,27,2802.85185185185
"ABRAXAS PETROLEUM CORPORATION","42311353910000",76061,19,4003.21052631579
"ABRAXAS PETROLEUM CORPORATION","42311354320000",105168,24,4382
"ABRAXAS PETROLEUM CORPORATION","42311354350000",105168,24,4382
"ABRAXAS PETROLEUM CORPORATION","42311354930000",83779,31,2702.54838709677
"ABRAXAS PETROLEUM CORPORATION","42311355660000",123275,27,4565.74074074074
"ABRAXAS PETROLEUM CORPORATION","42311356640000",85392,16,5337
"ABRAXAS PETROLEUM CORPORATION","42311356650000",85392,16,5337
"ABRAXAS PETROLEUM CORPORATION","42311356810000",76061,19,4003.21052631579
"ABRAXAS PETROLEUM CORPORATION","42311357120000",76061,19,4003.21052631579
"ABRAXAS PETROLEUM CORPORATION","42311358180000",76027,10,7602.7
"ABRAXAS PETROLEUM CORPORATION","42311360880000",85392,16,5337
"ABRAXAS PETROLEUM CORPORATION","42311360890000",85392,16,5337
"ACOCK/ANAQUA OPERATING CO., LP","42013343020000",4667,63,74.0793650793651
"ACTIVA RESOURCES, LLC","42325017790000",0,55,0
"ACTIVA RESOURCES, LLC","42325302480000",0,9,0
"AKG OPERATING COMPANY","42051336290000",13987,82,170.573170731707
"AKG OPERATING COMPANY","42089326870000",31174,31,1005.61290322581
"ALAMO OPERATING COMPANY, L. C.","42127336970000",38376,60,639.6
"ALAMO OPERATING COMPANY, L. C.","42163335410000",5430,18,301.666666666667
"ALAMO OPERATING COMPANY, L. C.","42507327360000",11885,42,282.97619047619
"ANADARKO E&P COMPANY LP","42127334600000",210,74,2.83783783783784
"ANADARKO E&P COMPANY LP","42127336120000",140087,76,1843.25
"ANADARKO E&P COMPANY LP","42127336150000",61582,74,832.189189189189
"ANADARKO E&P COMPANY LP","42127336200000",45721,70,653.157142857143
"ANADARKO E&P COMPANY LP","42127336210000",96292,71,1356.22535211268
"ANADARKO E&P COMPANY LP","42127336240000",157640,72,2189.44444444444
