"Company","Total_Production","Total_Month","P_per_Well_Monthly"
"1776 ENERGY OPERATORS, LLC",972935,109,10649.2262189565
"ABRAXAS PETROLEUM CORPORATION",2566887,948,3976.45175709804
"ACOCK/ANAQUA OPERATING CO., LP",4667,63,74.0793650793651
"ACTIVA RESOURCES, LLC",0,64,0
"AKG OPERATING COMPANY",45161,113,588.093036978757
"ALAMO OPERATING COMPANY, L. C.",55691,120,408.080952380952
"ANADARKO E&P COMPANY LP",56980693,28185,2164.3230927076
"ANADARKO E&P ONSHORE LLC",35777654,8837,7131.74663490689
"ANADARKO PETROLEUM CORPORATION",137708,41,3358.73170731707
"ANATEXAS OFFSHORE, INC.",117,6,19.5
"APACHE CORPORATION",1288841,707,4561.95466913775
"ARGENT ENERGY (US) HOLDINGS INC.",964250,331,3771.96458965637
"ATERRA EXPLORATION, LLC",493,12,41.0833333333333
"ATINUM OPERATING, INC.",977,18,54.2777777777778
"AURORA RESOURCES CORPORATION",608119,249,2378.61457252123
"AURORA USA DEVELOPMENT, LLC",1144598,652,1750.1337585034
"AWP OPERATING COMPANY",94755,146,631.670911949686
"BASS ENTERPRISES PRODUCTION CO.",314,22,14.2727272727273
"BATTLECAT OIL & GAS, LLC",18149,2,9074.5
"BENCHMARK TEXAS PETROLEUM, LLC.",3972,176,22.5681818181818
"BHP BILLITON PET(TXLA OP) CO",49075398,5734,15021.4548849726
"BIG SHELL OIL & GAS, INC.",16246,35,464.171428571429
"BLACKBIRD OIL & GAS, LLC.",310,62,5
"BLACKBRUSH O & G, INC.",1315322,1609,952.417952151926
"BLACKBRUSH O & G, LLC",3587577,2129,6204.43412272247
"BLUE STAR OPERATING COMPANY",13062,92,100.130385487528
"BLUESTONE NATURAL RES. II, LLC",49,2,24.5
"BRAMMER ENGINEERING, INC.",238373,343,685.354195957729
"BRC OPERATING COMPANY LLC",254763,586,415.14126984127
"BUFFCO PRODUCTION INC.",1033979,572,2423.7994863615
